Tag,Region,OS,OSVersion,ImageId,CreationDate
skypilot:cpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cpu-v20230615-ubuntu-2004,20230615
skypilot:k80-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20230615-ubuntu-2004,20230615
skypilot:gpu-debian-10,,debian,10,projects/deeplearning-platform-release/global/images/common-cu113-v20230615-ubuntu-2004,20230615

